"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 22 10:43:21 UTC 2024","Mon Jan 22 10:43:22 UTC 2024","471","chromium","example.spec.ts","","","","get started link",""
"passed","Mon Jan 22 10:43:21 UTC 2024","Mon Jan 22 10:43:21 UTC 2024","618","chromium","example.spec.ts","","","","has title",""
