"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 22 10:42:49 UTC 2024","Mon Jan 22 10:42:50 UTC 2024","741","chromium","example.spec.ts","","","","has title",""
"failed","Mon Jan 22 10:43:02 UTC 2024","Mon Jan 22 10:43:08 UTC 2024","5735","chromium","example.spec.ts","","","","get started link",""
