"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 23 11:08:54 UTC 2024","Tue Jan 23 11:08:55 UTC 2024","1026","chromium","example.spec.ts","","","","has title",""
"passed","Tue Jan 23 11:08:55 UTC 2024","Tue Jan 23 11:08:55 UTC 2024","594","chromium","example.spec.ts","","","","get started link",""
