"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 23 09:42:30 UTC 2024","Tue Jan 23 09:42:31 UTC 2024","660","chromium","example.spec.ts","","","","has title",""
"passed","Tue Jan 23 09:42:31 UTC 2024","Tue Jan 23 09:42:31 UTC 2024","475","chromium","example.spec.ts","","","","get started link",""
