"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 23 10:11:07 UTC 2024","Tue Jan 23 10:11:07 UTC 2024","607","chromium","example.spec.ts","","","","has title",""
"passed","Tue Jan 23 10:11:07 UTC 2024","Tue Jan 23 10:11:08 UTC 2024","509","chromium","example.spec.ts","","","","get started link",""
