"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 23 09:42:16 UTC 2024","Tue Jan 23 09:42:17 UTC 2024","490","chromium","example.spec.ts","","","","get started link",""
"passed","Tue Jan 23 09:42:15 UTC 2024","Tue Jan 23 09:42:16 UTC 2024","705","chromium","example.spec.ts","","","","has title",""
