"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 23 12:23:16 UTC 2024","Tue Jan 23 12:23:16 UTC 2024","469","chromium","example.spec.ts","","","","get started link",""
"passed","Tue Jan 23 12:23:15 UTC 2024","Tue Jan 23 12:23:16 UTC 2024","603","chromium","example.spec.ts","","","","has title",""
