"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 23 10:11:24 UTC 2024","Tue Jan 23 10:11:26 UTC 2024","2008","chromium","example.spec.ts","","","","has title",""
"passed","Tue Jan 23 10:11:26 UTC 2024","Tue Jan 23 10:11:26 UTC 2024","613","chromium","example.spec.ts","","","","get started link",""
