"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 17 12:09:33 UTC 2024","Wed Jan 17 12:09:35 UTC 2024","2494","chromium","example.spec.ts","","","","has title",""
"passed","Wed Jan 17 12:09:35 UTC 2024","Wed Jan 17 12:09:36 UTC 2024","568","chromium","example.spec.ts","","","","get started link",""
